Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100n","C_0603_1608Metric",-110.998000,-73.660000,90.000000,bottom
"C8","1u","C_0603_1608Metric",-121.716800,-69.392800,180.000000,bottom
"C11","100n","C_0603_1608Metric",-122.428000,-89.154000,0.000000,bottom
"C12","100n","C_0603_1608Metric",-127.508000,-89.154000,0.000000,bottom
"C13","100n","C_0603_1608Metric",-130.937000,-91.948000,-90.000000,bottom
"C14","100n","C_0603_1608Metric",-132.207000,-79.883000,-90.000000,bottom
"C15","100n","C_0603_1608Metric",-132.207000,-74.422000,-90.000000,bottom
"C16","100n","C_0603_1608Metric",-132.207000,-69.596000,-90.000000,bottom
"C20","100n","C_0603_1608Metric",-115.951000,-79.947000,-90.000000,bottom
"C21","2.2u","C_0603_1608Metric",-129.413000,-67.056000,180.000000,bottom
"C22","2.2u","C_0603_1608Metric",-129.413000,-68.707000,180.000000,bottom
"C25","10u","C_0603_1608Metric",-144.907000,-75.285000,90.000000,bottom
"C26","10u","C_0603_1608Metric",-146.685000,-75.298000,90.000000,bottom
"C27","15u","C_0603_1608Metric",-148.463000,-75.298000,90.000000,bottom
"C31","6.8n","C_0603_1608Metric",-139.842904,-60.325000,0.000000,bottom
"C32","120p","C_0603_1608Metric",-139.842904,-63.627000,0.000000,bottom
"C34","0.1u","C_0603_1608Metric",-147.828000,-61.722000,180.000000,bottom
"C36","0.1u","C_0603_1608Metric",-148.336000,-64.529000,-90.000000,bottom
"C37","2.2u","C_0603_1608Metric",-139.446000,-66.929000,0.000000,bottom
"C38","0.1u","C_0603_1608Metric",-148.336000,-67.704000,-90.000000,bottom
"C39","22n","C_0603_1608Metric",-138.430000,-69.215000,90.000000,bottom
"C40","0.1u","C_0603_1608Metric",-148.336000,-70.866000,-90.000000,bottom
"C42","1n","C_0603_1608Metric",-153.466800,-74.942400,-90.000000,bottom
"C43","1u","C_0603_1608Metric",-139.700000,-73.152000,0.000000,bottom
"C44","1u","C_0603_1608Metric",-139.700000,-74.777600,180.000000,bottom
"C55","120p","C_0603_1608Metric",-138.049000,-81.788000,-90.000000,bottom
"C59","0.1u","C_0603_1608Metric",-148.336000,-87.389000,-90.000000,bottom
"C60","2.2u","C_0603_1608Metric",-140.055600,-88.900000,0.000000,bottom
"C61","0.1u","C_0603_1608Metric",-148.336000,-90.564000,-90.000000,bottom
"C62","22n","C_0603_1608Metric",-139.446000,-98.298000,180.000000,bottom
"C63","0.1u","C_0603_1608Metric",-148.336000,-93.726000,-90.000000,bottom
"C65","1n","C_0603_1608Metric",-152.908000,-97.155000,-90.000000,bottom
"C68","10u","C_0603_1608Metric",-145.034000,-98.412000,90.000000,bottom
"C69","10u","C_0603_1608Metric",-146.685000,-98.412000,90.000000,bottom
"C70","10u","C_0603_1608Metric",-148.336000,-98.412000,90.000000,bottom
"C76","2.2u","C_0603_1608Metric",-116.890800,-84.010200,90.000000,bottom
